Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Espagne,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Estonie,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Éthiopie,,,,,,,,,,,12.7,25.5699501037598,26.467643737793,27.3465824127197,28.2022972106934,14.0,29.8475818634033,79.9308806503791,31.4747695922852,32.3105354309082,33.1765327453613,23.0,35.0421295166016,36.0444145202637,27.2,29.0,42.9,44.3,44.9799575805664
Union européenne,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96019634394956,100.0,100.0
Fragile et les situations de conflit touchées,,,,,,,,,,,34.12663715559141,36.71715119332311,39.60775315251631,41.94619544250823,41.21152552987625,40.54229216293238,44.62890171053375,45.93777248758844,46.28547401008797,45.439990863269664,46.01014528874864,48.847758981657016,50.00781629064737,50.99157905301769,51.255486270585436,51.41300434279599,54.8321795095688,55.449820770664275,55.585672178240436
Finlande,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Fidji,,,,,,,66.9,71.8128128051758,73.1336059570313,74.4535217285156,75.7680892944336,77.0728378295898,79.63,80.0,80.8835144042969,82.1069793701172,83.3143463134766,88.9,86.16,86.9556198120117,89.0069274902344,90.1521224975586,91.1318054199219,91.75,93.6912612915039,95.1486129760742,96.6237716674805,96.0,99.5933609008789
France,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Îles Féroé,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Micronésie, États fédérés de",,,,,,,,,,,46.0,48.4435157775879,50.2514343261719,52.0405960083008,53.8065376281738,55.5474624633789,57.272274017334,58.9925651550293,60.719913482666,62.4659042358398,64.5315202481064,67.1521224975586,69.3561096191406,71.3196258544922,73.3299560546875,75.6398315429688,78.0014724731445,80.1308822631836,82.099723815918
Gabon,,,,,,,,,,,73.6,76.5015716552734,77.4398956298828,78.3594665527344,79.2558135986328,81.6,80.9823684692383,81.8330612182617,82.6908187866211,83.5672149658203,92.2313461303711,90.4978866577148,89.3,86.4,88.5421447753906,89.6473541259766,90.7703704833984,91.9022827148438,93.0356826782227
Royaume-Uni,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Géorgie,,,,,,,,,,,,,99.9,98.9401397705078,99.0190887451172,97.9350541215654,99.1108322143555,99.1441268920898,99.1844863891602,99.2434768676758,99.3327026367188,99.6476364135742,100.0,99.8974075317383,100.0,99.9918899536133,100.0,100.0,100.0
Ghana,,,,30.6,32.1480026245117,34.2146072387695,36.2836074829102,38.3556022644043,42.6,42.5042114257813,43.7,46.6314353942871,48.6758575439453,48.3,52.7039642333984,54.6813850402832,55.0934500757703,58.5994911193848,60.5,62.5458335876465,64.2,64.06256,69.2180709838867,70.7,78.3,75.7182388305664,79.3,79.0,82.3945770263672
Gibraltar,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Guinée,,,,,,,,,,16.4,15.5391550064087,16.7780532836914,18.0026664733887,19.2085247039795,20.3911590576172,20.2,22.6902847290039,23.8272705078125,24.9713134765625,26.1340007781982,27.3269157409668,28.5616416931152,26.2,31.1755599975586,32.5403633117676,33.9318656921387,33.5,35.4,44.0
Gambie,,,,17.7,18.2984199523926,19.950325012207,21.6046257019043,23.2619209289551,24.9219627380371,26.5811290740967,34.3,29.8789520263672,31.5086727142334,27.8,34.7073783874512,30.4562675012354,37.8167152404785,39.3588066101074,40.9079551696777,42.4757499694824,47.2740135192871,48.9028778076172,50.3662223815918,51.5,52.8587913513184,54.4280319213867,56.0490341186523,56.2,60.3
Guinée-Bissau,,,,,,,,,,,,,,,,,14.5361990950226,8.02470779418945,9.29649448394775,4.7,6.0,13.2700548171997,14.6825084686279,16.1394596099854,17.2,20.2964935302734,23.2933483123779,26.0,28.6620216369629
Guinée équatoriale,,,,,,,,,,,,,,,,,,,,,,66.1,65.6772308349609,65.8435363769531,66.0454330444336,66.2740325927734,66.5204238891602,66.7757186889648,67.0325012207031
Grèce,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Grenade,,,,,,,,,85.04,85.5264892578125,85.9598083496094,86.3833160400391,86.7925415039063,87.1830062866211,87.5502548217773,87.8924789428711,88.2185974121094,88.5401916503906,90.0,89.2161407470703,89.5936660766602,88.8,90.4823226928711,90.9961395263672,91.5455551147461,92.4674072265625,93.6172790527344,94.534912109375,95.2919845581055
Groenland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Guatemala,,,,,,60.8,67.6789016723633,68.9023056030273,70.1284561157227,70.9,73.318205,73.7837829589844,78.667838,78.512204,77.3105392456055,78.4393692016602,83.730998,80.6602935791016,81.7755584716797,82.9094619750977,84.0735931396484,84.026414,86.5354614257813,87.8358840942383,85.494371,90.5346298217773,91.9151458740234,93.3,94.6954650878906
Guam,99.9251403808594,99.9392852783203,99.9536743164063,99.968620300293,99.983154296875,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Guyane,,,,72.376631,70.6883392333984,71.3234481811523,71.9609527587891,72.601448059082,73.2446899414063,73.8870544433594,74.5240783691406,75.1512832641602,75.7642059326172,76.3583755493164,76.929313659668,77.5,73.3825878594249,78.5303497314453,79.0626983642578,77.6,82.3978424072266,83.7841720581055,85.0049819946289,85.9853134155273,86.9,88.3391723632813,89.7176361083984,90.8638610839844,91.8495254516602
